"","x"
"113","OYO AMAT SANGAT TIDAK COCOK DAN TIDAK LAYAK DIREKOMENDASI JADI TUJUAN HOTEL. FOTO TAMPILAN LUAR HOTEL BISA MENIPU. NO REFUND. REFUND HARUS INI ITU TAPI TIDAK MENJAMIN HARI ITU JUGA. JANGAN ADA YANG DOWNLOAD APLIKASI INI. APLIKASI PENIPU. TANGGUNG JAWAB KURANG. TIDAK BISA DIPERCAYA. FOTO YG DITAMPILK...Ulasan LengkapOYO AMAT SANGAT TIDAK COCOK DAN TIDAK LAYAK DIREKOMENDASI JADI TUJUAN HOTEL. FOTO TAMPILAN LUAR HOTEL BISA MENIPU. NO REFUND. REFUND HARUS INI ITU TAPI TIDAK MENJAMIN HARI ITU JUGA. JANGAN ADA YANG DOWNLOAD APLIKASI INI. APLIKASI PENIPU. TANGGUNG JAWAB KURANG. TIDAK BISA DIPERCAYA. FOTO YG DITAMPILKAN TIDAK SESUAI. NOMOR TIDAK ADA YG BISA DIHUBUNGI. DISURUH PESAN DLU BARU BISA DIKASIH NOMOR. NOMOR MATI SEMUA. OYO SANGAT TIDAK RECOMENDED"
"114","sangat baik"
"115","Good"
"116","Kecewa dgn keputusan tdk bisa refund...uang saya hangus 400ribu"
"117","Yg murah dong hotel nya tapi bagus"
"118","Kecewa sama pelayanan refund OYO. Tulisannya refund tanggal 29 Desember tapi belum ada kejelasan. Saat click butuh bantuan, ada kesalahan dan tidak ada permintaan refund terdeteksi padahal udah minta refund. Saya minta refund dari tanggal 27 Desember!"
"119","Baru pertama pake udah kecewa. Udah booking, transfer trus tiba² di cancel oleh sistem. Uang gak dikembaliin. Udah kirim komplain lewat email, dibalas tapi gak ada kelanjutannya. Pas di email ulang, eh gak dibalas² lagi"
"120","Pelayanan yang profesional"
"121","Saya sudah bayar dan transfer tetapi tiba2 di cancel. Saya email nggak bisa. Di telpon sibuk terus. Di aplikasi jika tidak di refund 10-12 hari di suruh hubungin tapi nggak bisa di hubungin ID pemesanan : WKSB8149"
"122","saya sudah bayar,pagi2 hp saya lg off katanya karena tidak bisa di hubungi akhirnya di cansel sendiri oleh pihak oyo,enggak masuk akal bgtz padahal sudah bayar mau saya dateng atw gak kan terserah saya,jadwal cekin itukan jam 2 gak bener bgtzzz ini OYO mana yg sudah di bayar lunas tidak bisa di kemb...Ulasan Lengkapsaya sudah bayar,pagi2 hp saya lg off katanya karena tidak bisa di hubungi akhirnya di cansel sendiri oleh pihak oyo,enggak masuk akal bgtz padahal sudah bayar mau saya dateng atw gak kan terserah saya,jadwal cekin itukan jam 2 gak bener bgtzzz ini OYO mana yg sudah di bayar lunas tidak bisa di kembalikan 😠😠😠😠"
"123","Kloo bisa bayar itu di tempat ajaa"
"124","Sudah melakukan pembayaran, tapi diaplikasi bookingan nya hilang. Itu gimana? Apa tidak bisa di refund?"
"125","Baru diperbaharui..kok tiap booking selalu ada kesalahan,coba lagi, Anya yg salah.."
"126","Murah nyaman asik"
"127","Good"
"128","Woy oyo anjing balikin duit gue anjing dasar aplikasi maling, bangsat anjing tiap di tagih nanya terus ke tim terkait tapi ga ada penjelasan terus dasar bangsat anjing aplikasi bangsat"
"129","JANGAN DI DOWNLOAD, APLIKASI INI GA BAGUS. Masa sy pesan kamar di oyo 1516 Cemara gading,,trus pas sdh transfer lewat ATM eh di aplikasi tiba2 pesanan di cancel,jadi uang sy tetap hilang tuh dimakan tuyulnya oyo. Mau minta uang kembali ga bisa. Sampe kapanpun gue ga ikhlas duit gue lu makan.😠😠 No....Ulasan LengkapJANGAN DI DOWNLOAD, APLIKASI INI GA BAGUS. Masa sy pesan kamar di oyo 1516 Cemara gading,,trus pas sdh transfer lewat ATM eh di aplikasi tiba2 pesanan di cancel,jadi uang sy tetap hilang tuh dimakan tuyulnya oyo. Mau minta uang kembali ga bisa. Sampe kapanpun gue ga ikhlas duit gue lu makan.😠😠 No.booking sy : RQXC5271"
