"","x"
"357","Sy senang nginap di sini"
"358","Baru sekali ini saya pakai aplikasi ini. Bbrp hari sblm pergi udh sibuk pilih2 hotel. Begitu hari H tiba, di menit2 terakhir tiba2 hotel sy dipindahkan ke tempat lain. Bayangin aja, setelah perjalanan berjam2 tau2 dipindahkan sepihak. Tau gt ngapain sy sibuk2 pilih!!!! Untung cm numpang tidur semala...Ulasan LengkapBaru sekali ini saya pakai aplikasi ini. Bbrp hari sblm pergi udh sibuk pilih2 hotel. Begitu hari H tiba, di menit2 terakhir tiba2 hotel sy dipindahkan ke tempat lain. Bayangin aja, setelah perjalanan berjam2 tau2 dipindahkan sepihak. Tau gt ngapain sy sibuk2 pilih!!!! Untung cm numpang tidur semalam doang. Auto delete aplikasi gak bisa dipercaya niii!!"
"359","puass"
"360","Lumayan, perlu ditingkatkan sistem proses pemesanan, pembayaran, dan keterangan masing2 kamar. Kadang berbeda saat kita lihat lsg."
"361","ini aplikasi kaya jigong lama banget responnya giliran minta duit kita balik g berkah lo makan duit orang !!!!"
"362","Memudahkan"
"363","Top"
"364","Sangat membantu sekali terutama buat anak2 saya Terima kasih RedDoorz"
"365","Sangat baik"
"366","Pilih Hotel ya RedDoorz..👍😀"
"367","Like it"
"368","Kecewa mau ganti tanggal responnya lama mana kita pesan untuk dua malam tidak bisa refund pulak"
"369","Sangat membantu dan harga terjangkau"
"370","Mantap"
"371","Sangat nyaman,dengan disain yg cantik wangi,dan bersih"
"372","Mudah digunakan tp utk pembatalan agak susah."
"373","ok"
"374","Sangatlaj kecewa banget cok ga sesuai"
"375","Wonderdul"
"376","Good"
"377","Kerenn"
"378","Ok"
"379","Ok"
"380","Masa sie saya kena chas 50rb lgi,kata'y saya hrs'y check in jam 14.00,saya datang'y jam 10.00,, Ya masa check in hrs jam 14.00,, Udah gtu gada no CS yg bisa d'hbungin bwat tanya"" info,, KECEWA,, RedDorz syariah near Gor patanayuda karawang,,"
"381","👍"
"382","Mudah operasi aplikasinya"
