"","x"
"186","Aplikasi bangke"
"187","Buruk sekali padahal pesan hotel sudah bayar tapi pihak agoda yang membatalkan dengan alasan kesalahan teknis tapi uang juga belum direfund di email juga gabales dasar aplikasi goblok"
"188","Agoda tlong donk uangku kembaliiin.. aku udah bayar 375.750.. ada bukti bayar.. tapi knp gagal pemesanan.. knp si kalo emang gagal ga di masukin agoda tunai aja.. aku harus minta kmn uangku.. itu aku udah transfer aku tlp customer service diangkat tapi ga ada suaranya. Aku butuh kejelasan.."
"189","Tolong dikirim nomer customer service yang aktif. Saya sdh bayar di indomaret ternyata dibatalkan oleh agoda. Cs ditelpon selalu direject. Saya minta uang saya dikembalikan"
"190","Good"
"191","Mantul"
"192","Nice"
"193","Ok"
"194","Praktis dan sangat mudah dalam melakukan pemesanan kamar hotel"
"195","Mantap, cepat"
"196","Mudah dan bisa dipercaya"
"197","Cukup membantu"
"198","Baik"
"199","hadeh"
"200","Aplikasi ok"
"201","Tingkatkan Kita coba dlu ya gan"
"202","Okay"
"203","Nice"
"204","Kenapa tidak ada metode pembayaran hotel menggunakan atm transfer."
"205","Terimakasih sudah menyelesaikan keluhan kami dengan fast respon,kalo kaya gini jadi percaya trus pake aplikasi agoda"
"206","Sekarang sudah tersedia dengan bnyak metode pembayaran, sehingga memudahkan dalam pemesanan bagi pengguna"
"207","Ini gimana sih, saya mau claim pesanan saya yang dibatalkan sepihak, dan saya sudah terima email ""refund claim"" nya tapi gak bisa isi dikolom informasi bank. Sudah berapa kali saya email masih sama dan gak ada tindak lanjutnya. Jadi ini tu gimana, punya kebijakan tapi gak dijalankan. Sudah 3 hari lo...Ulasan LengkapIni gimana sih, saya mau claim pesanan saya yang dibatalkan sepihak, dan saya sudah terima email ""refund claim"" nya tapi gak bisa isi dikolom informasi bank. Sudah berapa kali saya email masih sama dan gak ada tindak lanjutnya. Jadi ini tu gimana, punya kebijakan tapi gak dijalankan. Sudah 3 hari lo dari hari transaksi. Mohon kejelasannya. Kalau perlu live chat atau telpon yang mudah terhubung aja."
"208","Sudah saya bayar uang pemesenan hotel, taunya dibatalkan. Hubungi pihak cs di reject. Parah ni agoda"
"209","Cepat dan informatif"
"210","Pemesanannya mudah dan harganya disesuaikan dg kemampuan juga ada discountnya lumayan mengurangi pengeluaran"
"211","Hotel ibis serpong"
"212","Mantaff..tidak ribettt"
"213","Mudah sekali dan harganya ok"
"214","Aplikasi macam apa ini penipu!!!! Saya sudah pesan dan berapa Lama malah di cancel!! Padahal sudah saya transfer lewat alfa!!! Malah seenKnya sudah dibayar terus dicancel!!! Uang tidak kembali lag!! Kalau mau cari uang yang halal tolong ya, jangan caranya menipu gini! Saya masih ingin uang saya kemb...Ulasan LengkapAplikasi macam apa ini penipu!!!! Saya sudah pesan dan berapa Lama malah di cancel!! Padahal sudah saya transfer lewat alfa!!! Malah seenKnya sudah dibayar terus dicancel!!! Uang tidak kembali lag!! Kalau mau cari uang yang halal tolong ya, jangan caranya menipu gini! Saya masih ingin uang saya kembali. Emang cari uang gampang apah."
"215","Memuudahkan dpt hotel dan Byk harga discount."
"216","Mantapp"
"217","bagis"
"218","Bagus"
"219","Harga belum terhitung pajak. Sesudah klik pesan baru kelihatan harga setelah dikenakan pajak. Termurah d antar apps lain"
"220","Alhamdulillah sesuai request"
"221","good"
